restaurant_name,location,status,rating,full address,cusine,fssai
Waffle Walle,Arekere,-- MINS,4.6,"Waffle Walle, Royal Meenakshi Mall, Lower Ground Floor, outer Periphery area, oppst Big Bazaar. ","Desserts,Cafe,Bakery,Combo,Fast Food,European,American",Applied for license
Vishal Foods,Arekere,-- MINS,--,"Vishal Foods, NO 2 , AKSHAYNAGAR NEAR DLF NEW TOWN BEGUR MAIN ROADBANGALORE SOUTH KARNATAKA 560068",North Indian,License No. 11217334001455
Icee,Arekere,Closed,4.1,"Icee, icee, next to ample mart, DLF New Town, Akshayanagar, Bennerghatta Main Road  Bengaluru, 560068","Fast Food,Juices",License No. 21219194001491
KITCHEN OF PARATHAS,Arekere,Closed,--,"KITCHEN OF PARATHAS, 1715 BALRAJU HOUSE, AMALDBHOVA NAGAR, BEGUR MAIN ROAD, bANGALORE , B.B.M.P South,560068",North Indian,Applied for license
Thalassery Restaurant,Arekere,-- MINS,4.0,"Thalassery Restaurant, Bassavalingappa nagar, billekalli village, bommanhalli","South Indian,Biryani,Kerala,North Indian,Chinese",License No. 11218334002010
Hyderabadi Biriyani House,Arekere,Closed,3.4,"Hyderabadi Biriyani House, No. 633/B555, Panduranga Nagar, Opp HSBC, Near Arekere Gate, Bannerghatta Road, Bangalore 76","Seafood,Andhra,Biryani,Desserts,South Indian,Fast Food,Beverages",License No. 11219334001174
Lassi Hut,Arekere,Closed,--,"Lassi Hut, 37/6, J CROSS , 3RD MAIN ROAD , BISSMILAHNAGAR, BANNERGHTHA ROAD, BANGALORE - 560029","Beverages,Ice Cream,Juices,Fast Food",License No. 21219194000711
Susie's Burgers,Arekere,-- MINS,4.1,"Susie's Burgers, 52, 1st floor, 3rd Cross, Omkar Nagar, Arekere Gate Bannerghata Rd Bangalore 76","American,Snacks,Fast Food",License No. 21218009000344
cafe kanthari,Arekere,Closed,4.1,"cafe kanthari, Shop no 289/7, Nithyashree Complex, Begur Main Rd, Near Indian Petrol Bunk, Begur, Bengaluru, Karnataka 560068, India","Kerala,South Indian",License No. 11220334000294
Hotel Empire,Arekere,Closed,3.7,"Hotel Empire, 35/4, 24th Main Rd, Achappa Layout, Puttenahalli, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078","Chinese,Combo,North Indian,South Indian,Mughlai,Biryani",License No. 11219334002032
Chud bud,Arekere,Closed,--,"Chud bud, 630, DHI Innovation Sports Center, Beside Mahindra Life Spaces Apartment, arekere Bannerghatta Road,Bangalore 560076","Beverages,Fast Food,Chinese,South Indian",License No. 21219010002369
Chakka Manga Thenga,Arekere,-- MINS,--,"Chakka Manga Thenga, S-SQUARE Multicuisine Restaurant, Hulimavu Lake Road, Mutharayaswamy Layout, Hulimavu, Bengaluru, Karnataka, India","Kerala,Seafood",License No. 21220192000038
New Kabab,Arekere,Closed,--,"New Kabab, BusinessSITE NO 1057, BILEKAHALLI VILLAGE,BEGUR HOBLI,, BANGALORE SOUTH TALUK, Bengaluru (Bangalore) Urban","Indian,Chinese",License No. 11218334001261
Interval,Arekere,Closed,--,"Interval, 9/1A SHOP NO 2 GROUND FLOOR AREKERE MAIN ROAD-560076","Juices,Beverages,Desserts",License No. 21219010000387
Gajanan Mithai Ghar,Arekere,-- MINS,--,"Gajanan Mithai Ghar, #127, 4th Main, Opp L&T South City, Arekere,, Mico Layout, B.G Road., Bengaluru, Karnataka 560078","Bakery,Snacks,Sweets",License No. 21219193001256
Kulfi Monk,Arekere,Closed,--,"Kulfi Monk, Samruddi Kuteera Food court, Chikka Begur, Manipal County Road, Bangalore-560068",Ice Cream,License No. 21219010000810
Ovenstory Pizza,Arekere,-- MINS,3.9,"Ovenstory Pizza, No 161,161 A,166, First floor, ,Vinayaka Nagar,Bangalore,KARNATAKA","Pizzas,Italian",License No. 11218334000189
The Yellow Submarine,Arekere,Closed,4.0,"The Yellow Submarine, Rooftop, Plot No.448, SRK Towers, Bannerghatta Road, Opposite to IIM Bangalore, Arekere, Bengaluru, Karnataka 560076","Continental,North Indian,South Indian",License No. 11217334000629
Lassi Shop,Arekere,-- MINS,--,"Lassi Shop, DLF Newtown, Akshayanagar, Hulimavu","Beverages,Desserts,Fast Food",License No. 21218010001310
The Dessert Zone,Arekere,-- MINS,4.1,"The Dessert Zone,  6D, 3rd Floor, Aishwarya Arcade, Hanuman Nagar, BTM Layout, Sir M Vishveshwaraya Road, Opp Nano Hospital, Arekere, Bangalore, 560076","Desserts,Bakery,Ice Cream,American,British,Combo,Snacks,Beverages",License No. 11219334001621
GIRLS IN THE CITY,Arekere,Closed,--,"GIRLS IN THE CITY, F.No. 015, MANIPAL COUNTRY ROAD, AECS C BLOCK, BEGUR, BENGALURU, District - Bangalore Urban, STATE - Karnataka 560068","Indian,Chinese,North Indian,Snacks",License No. 21219007001777
Gundu Palav - SGS Non Veg,Arekere,Closed,4.0,"Gundu Palav - SGS Non Veg, No. 4,1st cross,1st Stage, Arekere Mico Layout main road, Arekere, Bannerghatta Road, Bangalore - 560076.",Indian,License No. 11218334001498
Snacks Way,Arekere,Closed,--,"Snacks Way, Dwaraka Bhavan, SRK Paradise Layout, Wellington Paradise, Begur, Bangalore, Karnataka, India","Fast Food,Juices",License No. 30200219122208
MOMO and Co.,Arekere,Closed,--,"MOMO and Co., NO.3, PANDURANGA NAGAR, DOESANIPALYA, GOVINDA REDDY LAYOUT, AREKERE, BANGALORE 560078., District - B.B.M.P South, STATE - Karnataka","Chinese,Fast Food,Tibetan",License No. 11219334002411
Divya's Restaurant,Arekere,Closed,4.2,"Divya's Restaurant, EBT layout. #14, Raghavendra Layout, Krishna Layout, Hulimavu, Bengaluru, Karnataka 560076, India","Andhra,Beverages,Biryani,Cafe,Chinese,Fast Food,South Indian",License No. 21219007001678
Polar Bear,Arekere,-- MINS,4.6,"Polar Bear, Vijaya Bank Enclave Rd, Kutappa Garden, Mulki Sundar Ram Shetty Nagar, Bilekahalli, Bengaluru, Karnataka 560076","Desserts,Ice Cream",License No. 11218334002149
